#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
4.373969	0.179110	0.173555	0.171064	0.170823	0.165402	0.171283	0.171759
4.392866	0.175992	0.170453	0.167979	0.167751	0.162393	0.168193	0.168620
4.411953	0.172922	0.167402	0.164943	0.164730	0.159435	0.165155	0.165532
4.430850	0.169901	0.164401	0.161958	0.161758	0.156528	0.162166	0.162494
4.449747	0.166927	0.161448	0.159022	0.158835	0.153671	0.159226	0.159506
4.468645	0.164001	0.158543	0.156134	0.155961	0.150862	0.156335	0.156567
4.487542	0.161121	0.155686	0.153295	0.153135	0.148101	0.153491	0.153676
4.506628	0.158287	0.152875	0.150502	0.150356	0.145388	0.150695	0.150833
4.525525	0.155498	0.150111	0.147756	0.147623	0.142722	0.147945	0.148037
4.544423	0.152754	0.147392	0.145056	0.144935	0.140102	0.145241	0.145287
4.563320	0.150054	0.144718	0.142401	0.142293	0.137527	0.142583	0.142583
4.582217	0.147398	0.142089	0.139791	0.139695	0.134996	0.139968	0.139924
4.601304	0.144784	0.139503	0.137224	0.137141	0.132510	0.137398	0.137310
4.620201	0.142212	0.136960	0.134701	0.134630	0.130066	0.134871	0.134739
4.639098	0.139682	0.134459	0.132220	0.132161	0.127665	0.132386	0.132211
4.657995	0.137193	0.132000	0.129781	0.129734	0.125306	0.129944	0.129726
4.676893	0.134745	0.129581	0.127383	0.127349	0.122988	0.127542	0.127282
4.695979	0.132336	0.127204	0.125026	0.125003	0.120710	0.125181	0.124880
4.714876	0.129966	0.124866	0.122708	0.122697	0.118473	0.122860	0.122518
4.733774	0.127635	0.122567	0.120430	0.120431	0.116274	0.120579	0.120197
4.752671	0.125343	0.120307	0.118191	0.118203	0.114114	0.118336	0.117915
4.771757	0.123087	0.118085	0.115990	0.116013	0.111991	0.116132	0.115671
4.790655	0.120869	0.115900	0.113827	0.113861	0.109906	0.113964	0.113466
4.809552	0.118687	0.113752	0.111700	0.111745	0.107857	0.111834	0.111298
4.828449	0.116541	0.111640	0.109610	0.109665	0.105844	0.109741	0.109167
4.847346	0.114430	0.109564	0.107555	0.107621	0.103867	0.107683	0.107073
4.866433	0.112353	0.107523	0.105536	0.105612	0.101924	0.105660	0.105015
4.885330	0.110311	0.105517	0.103551	0.103638	0.100015	0.103672	0.102992
4.904227	0.108303	0.103544	0.101601	0.101697	0.098140	0.101718	0.101003
4.923125	0.106328	0.101606	0.099683	0.099790	0.096298	0.099797	0.099049
